confirmationNo,Latitude,Longitude,formattedAddress,Original FSA,New FSA
1134567,49.8710197,-97.1680164,"158 Harvard Ave, Winnipeg, MB R3M 0K5, Canada",R3H,R3M
1134671,49.9195773,-97.0807714,"720 Grey St, Winnipeg, MB R2K 3W9, Canada",R2E,R2K
1136958,49.87708,-97.29332,"93-67 Westwood Dr, Winnipeg, MB R3K 1G4, Canada",R3R,R3K
1137019,49.8768295,-97.2764666,"186 Oakdean Blvd, Winnipeg, MB R3J 3N9, Canada",R2M,R3J
1137386,49.8965215,-97.1366013,"950-167 Lombard Ave, Winnipeg, MB R3B 0V3, Canada",R3G,R3B
1137703,49.8852967,-97.2587158,"2300 Ness Ave, Winnipeg, MB R3J 1A2, Canada",R2J,R3J
1138239,49.8639187,-97.208699,"350 Doncaster St, Winnipeg, MB R3N 1W8, Canada",R3M,R3N
1138240,49.8640832,-97.2086413,"342 Doncaster St, Winnipeg, MB R3N 1W8, Canada",R3M,R3N
1138248,49.8657481,-97.2062146,"295 Kenaston Blvd, Winnipeg, MB R3N 1V5, Canada",R3M,R3N
1138831,49.8687526,-97.1447031,"420 Rte 42, Winnipeg, MB R3L 2E9, Canada",R3L,R3M
1138895,49.8686365,-97.2567616,"3401 Roblin Blvd, Winnipeg, MB R3R 0C6, Canada",R3E,R3R
1139280,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1139608,49.8697694,-97.2604567,"3737 Vialoux Dr, Winnipeg, MB R3R 0A5, Canada",R3G,R3R
1139674,49.9731127,-98.2924804,"9 Saskatchewan Ave W, Portage la Prairie, MB R1N 0P4, Canada",R3H,R1N
1139840,49.86448716,-96.94111935,"58080 Provincial Rd 207, Winnipeg, MB R0E 0K0, Canada",R0E,R2C
1141185,49.9566928,-97.1718787,"1456 Jefferson Ave #306, Winnipeg, MB R2P 0Z3, Canada",R3R,R2P
1141641,50.0822955,-96.9435771,"6 Stevens Ave E, Lockport, MB R1A 2T4, Canada",R2M,R1A
1141700,50.1550594,-96.8872751,"825 Manitoba Ave, Selkirk, MB R1A 0Z3, Canada",R3H,R1A
1141721,50.0557121,-96.9800188,"5696 Henderson Hwy, Narol, MB R1C 0B4, Canada",R1C,R1B
1141732,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1141737,49.9036025,-97.1571063,"820 Sherbrook St, Winnipeg, MB R3A 1R9, Canada",R3A,R3E
1141953,49.9234162,-97.1964142,"1810 Midmar Ave, Winnipeg, MB R2R 0J7, Canada",R2L,R2R
1142504,49.89743,-97.1060117,"172 Archibald St, Winnipeg, MB R2J 0W3, Canada",R2J,R2H
1142648,51.9462715,-98.0823823,"Zettergreen Ave, Gimli, MB R0C 1J0, Canada",R0C,R0L
1143187,49.880265,-97.271524,"Eastbound Lodge at Ronald, Winnipeg, MB R3J 3J4, Canada",R3R,R3J
1143304,49.5223797,-96.6907425,"91 Reimer Ave, Steinbach, MB R5G 0T9, Canada",R0A,R5G
1143570,49.9170858,-97.0983815,"Northbound Watt at Munroe, Winnipeg, MB R2K 2S1, Canada",R3B,R2K
1143743,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1143749,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1143782,54.7751389,-101.8493669,"226 Phelan Ave, Flin Flon, MB R8A 0J2, Canada",R2W,R8A
1144105,49.9010692,-97.0651665,"66 Stapon Rd, Winnipeg, MB R3C 3M2, Canada",R2C,R3W
1144500,49.9228428,-97.1519271,"730 Aberdeen Ave, Winnipeg, MB R2W 1W9, Canada",R3E,R2W
1144729,49.8957294,-97.2210017,"958 Ferry Rd, Winnipeg, MB R3H 0Y8, Canada",R2H,R3J
1144907,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1144912,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1145326,49.8882437,-97.1471224,"401 York Ave, Winnipeg, MB R3C 4G4, Canada",R2J,R3C
1145398,49.8561617,-97.2834542,"530 Dieppe Rd, Winnipeg, MB R3R 1C4, Canada",R3H,R3R
1145893,49.880265,-97.271524,"Eastbound Lodge at Ronald, Winnipeg, MB R3J 3J4, Canada",R3R,R3J
1146239,49.9183004,-97.2119707,"2055 Notre Dame Ave, Winnipeg, MB R3H 0J8, Canada",R3H,R2R
1146299,49.8834731,-97.2814252,"700 Setter St #205, Winnipeg, MB R2Y 0L5, Canada",R2V,R2Y
1146450,49.8788739,-97.153705,"270 Roslyn Rd, Winnipeg, MB R3L 0H3, Canada",R3G,R3L
1146671,49.8834731,-97.2814252,"700 Setter St #205, Winnipeg, MB R2Y 0L5, Canada",R2V,R2Y
1146673,49.8834731,-97.2814252,"700 Setter St #205, Winnipeg, MB R2Y 0L5, Canada",R2V,R2Y
1147173,49.880265,-97.271524,"Eastbound Lodge at Ronald, Winnipeg, MB R3J 3J4, Canada",R3R,R3J
1147234,49.90553,-97.19932,"1359 St James St, Winnipeg, MB R3H 0L1, Canada",R2H,R3E
1147389,49.8113039,-97.1313242,"210 Dysart Rd, Winnipeg, MB R3T 2M8, Canada",R2N,R3T
1147552,49.8693316,-97.2103803,"150 Tuxedo Ave, Winnipeg, MB R3P 1B2, Canada",R3N,R3P
1147565,49.8692368,-97.2090804,"130 Tuxedo Ave, Winnipeg, MB R3P 0R2, Canada",R3N,R3P
1147918,49.9183004,-97.2119707,"2055 Notre Dame Ave, Winnipeg, MB R3H 0J8, Canada",R3H,R2R
1148095,49.8827858,-97.1149359,"291 Rte 115, Winnipeg, MB R2H 0S2, Canada",R3A,R2H
1148483,49.8909693,-97.1186093,"607 Langevin St, Winnipeg, MB R2H 2W2, Canada",R3H,R2H
1148644,49.9498615,-97.1296619,"1141 Diplomat Dr, Winnipeg, MB R2V 3K9, Canada",R2X,R2V
1148876,49.8693316,-97.2103803,"150 Tuxedo Ave, Winnipeg, MB R3P 1B2, Canada",R3N,R3P
1149336,49.8089651,-97.1366573,"71 Curry Pl, Winnipeg, MB R3T 2M6, Canada",R2N,R3T
1149641,49.8746281,-97.2193072,"60 Ferry Rd, Winnipeg, MB R3J 1V8, Canada",R3L,R3J
1149644,49.8525202,-97.1005633,"20 Morrow Ave, Winnipeg, MB R2M 1A5, Canada",R3M,R2M
1149814,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1150079,49.8162261,-99.6442218,"129 Shilo Rd, Shilo, MB R0K 2A0, Canada",R0K,R7A
1150119,49.9414228,-97.1183357,"271 Royal Ave, Winnipeg, MB R2V 1H6, Canada",R3V,R2V
1150163,49.8700652,-97.1094441,"24 A Morier Ave, Winnipeg, MB R2M 0C3, Canada",R3M,R2M
1150593,49.9183004,-97.2119707,"2055 Notre Dame Ave, Winnipeg, MB R3H 0J8, Canada",R3H,R2R
1150655,49.9183004,-97.2119707,"2055 Notre Dame Ave, Winnipeg, MB R3H 0J8, Canada",R3H,R2R
1151014,50.1550594,-96.8872751,"825 Manitoba Ave, Selkirk, MB R1A 0Z3, Canada",R3B,R1A
1151015,50.1550594,-96.8872751,"825 Manitoba Ave, Selkirk, MB R1A 0Z3, Canada",R3B,R1A
1151463,49.8663637,-97.1674643,"1095 Corydon Ave, Winnipeg, MB R3M 0X3, Canada",R2K,R3M
1151466,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3V,R3J
1152352,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1152965,49.89567,-97.21845,"900 Ferry Rd, Winnipeg, MB R3H 0Y8, Canada",R2H,R3J
1153436,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1153962,49.9407157,-97.1791656,"450 Sheppard St, Winnipeg, MB R2X 2P8, Canada",R2W,R2X
1153963,49.8873895,-97.139319,"280 Broadway, Winnipeg, MB R3C 0R8, Canada",R3H,R3C
1154225,49.8954221,-97.1385145,"Building 64    17 Wing, Winnipeg, MB R1R 1R1, Canada",R1R,R3B
1154732,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1154805,49.9222125,-97.1949953,"Northbound Keewatin at Gallagher, Winnipeg, MB R3E 1S9, Canada",R2R,R3E
1154941,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1155099,49.9379747,-97.103076,"Fraser's Grove Park, 85 Frasers Grove, Winnipeg, MB R2K, Canada",R3B,R2K
1155101,49.9379747,-97.103076,"Fraser's Grove Park, 85 Frasers Grove, Winnipeg, MB R2K, Canada",R3B,R2K
1155150,49.9222867,-97.194989,"Northbound Keewatin at Gallagher, Winnipeg, MB R3E 1S9, Canada",R2R,R3E
1155151,49.9223609,-97.1949827,"Northbound Keewatin at Gallagher, Winnipeg, MB R3E 1S9, Canada",R2R,R3E
1155597,49.8631173,-97.1097128,"35 MB-1, Winnipeg, MB R2M 2Y2, Canada",R0H,R2M
1155732,49.8716433,-97.157789,"785 Dorchester Ave, Winnipeg, MB R3M 0P5, Canada",R3R,R3M
1156517,49.7838036,-97.1561975,"3040 Pembina Hwy #211, Winnipeg, MB R3T 4N1, Canada",R2X,R3T
1156657,49.8657643,-97.1345652,"524 Osborne St, Winnipeg, MB R3L 2B1, Canada",R3B,R3L
1156684,49.9013852,-96.9982934,"1101 Wabasha St, Winnipeg, MB R2C 0P3, Canada",R3C,R2C
1156956,49.8794065,-97.1745712,"1012 Wolseley Ave, Winnipeg, MB R3G 1G1, Canada",R3C,R3G
1157508,49.8933183,-97.1069676,"501 Plinguet St, Winnipeg, MB R2J 0E8, Canada",R2J,R2H
1157900,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1157985,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1158115,49.8288138,-97.1509239,"1686 Pembina Hwy, Winnipeg, MB R3T 2G2, Canada",R3C,R3T
1158780,49.8264942,-97.150717,"1750 Pembina Hwy, Winnipeg, MB R3T 4J5, Canada",R3P,R3T
1159296,49.8083372,-97.1513329,"8215 Dartmouth Dr, Winnipeg, MB R3T 2E8, Canada",R3P,R3T
1159455,49.8760387,-97.1780787,"951 Wellington Crescent, Winnipeg, MB R3M 0A7, Canada",R3M,R3N
1159601,49.8160847,-97.1507719,"2060 Pembina Hwy, Winnipeg, MB R3T 2G9, Canada",R3M,R3T
1160046,49.8983465,-97.1070705,"125 Rte 30, Winnipeg, MB R2J 0V9, Canada",R2J,R2H
1160622,49.8860122,-97.2711156,"43 Red Robin Pl, Winnipeg, MB R3J 3L9, Canada",R3V,R3J
1161137,49.873456,-97.1814664,"378 Academy Rd #17, Winnipeg, MB R3M 0G1, Canada",R3M,R3N
1161257,49.8228315,-97.1763482,"1840 Chevrier Blvd, Winnipeg, MB R3T 4V7, Canada",R3H,R3T
1161929,49.8518619,-97.1133542,"6 Fermor Ave, Winnipeg, MB R2M 0Y2, Canada",R2V,R2M
1162225,49.9082741,-97.2084663,"1000 King Edward St, Winnipeg, MB R3H 0R2, Canada",R3M,R3H
1162559,49.8569098,-97.1148445,"32 Elm Park Rd, Winnipeg, MB R2M 0V9, Canada",R3M,R2M
1162587,49.857753,-97.132552,"512 McNaughton Ave, Winnipeg, MB R3L 1S4, Canada",R2L,R3L
1162592,49.9106737,-97.1548436,"429 Higgins Ave, Winnipeg, MB R3E 1V4, Canada",R3B,R3E
1162718,49.8827969,-97.1165365,"261 Goulet St, Winnipeg, MB R2H 0S3, Canada",R3R,R2H
1162766,49.8993567,-97.1519156,"493 Notre Dame Ave, Winnipeg, MB R3B 1R8, Canada",R3M,R3A
1163048,49.8983465,-97.1070705,"125 Rte 30, Winnipeg, MB R2J 0V9, Canada",R2J,R2H
1163469,49.8306559,-97.140959,"River Dr, Winnipeg, MB R2M 5C4, Canada",R3L,R2M
1163841,49.8893239,-97.1385711,"114 Garry St, Winnipeg, MB R3C 1G1, Canada",R3H,R3C
1164027,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1164061,49.9618732,-97.1614454,"400 Pipeline Rd, Winnipeg, MB R2P 2T4, Canada",R3R,R2P
1164533,49.8252133,-99.9642089,"1570 Richmond Ave, Brandon, MB R7A 5C5, Canada",R7A,R7B
1165632,49.8160847,-97.1507719,"2060 Pembina Hwy, Winnipeg, MB R3T 2G9, Canada",R3M,R3T
1165827,49.9059468,-97.2042168,"950 Bradford St, Winnipeg, MB R3H 0N5, Canada",R3M,R3H
1166218,49.9552817,-97.1488958,"Seven Oaks General Hospital, 2300 McPhillips St, Winnipeg, MB R2V 3M3, Canada",R2V,R2P
1167486,50.2294446,-98.949625,"109 Bay St, Gladstone, MB R0J 0T0, Canada",R3N,R0J
1167581,49.8655406,-97.1803725,"1350 Grosvenor Ave, Winnipeg, MB R3M 3M2, Canada",R3M,R3N
1167716,49.936624,-97.1375935,"524 Rupertsland Ave, Winnipeg, MB R2V 0H1, Canada",R1A,R2V
1167865,49.9576499,-97.1061791,"453 Murray Ave, Winnipeg, MB R2V 4J1, Canada",R3N,R2V
1167906,49.9150652,-97.1088501,"247 Martin Ave W, Winnipeg, MB R2L 0B7, Canada",R2K,R2L
1168316,49.844577,-99.9678801,"332 22nd St, Brandon, MB R7B 1R8, Canada",R7B,R7A
1168327,49.7653467,-97.1443045,"Southbound St Pierre at Du Couvent, Winnipeg, MB R3V 1J7, Canada",R0A,R3V
1168870,49.8343195,-97.165399,"70 Irene St, Winnipeg, MB R3T 4E1, Canada",R3M,R3T
1169500,49.221769,-97.2518526,"Rd 15 N, Ginew, MB R0A 2R0, Canada",R0G,R0A
1170156,49.8882437,-97.1471224,"401 York Ave, Winnipeg, MB R3C 4G4, Canada",R2J,R3C
1170158,49.8906437,-97.1164849,"271 De La Cathedrale Ave, Winnipeg, MB R2H 2X2, Canada",R3B,R2H
1170280,49.9473814,-97.1378196,"1010 Sinclair St, Winnipeg, MB R2V 3H7, Canada",R3V,R2V
1170577,49.8934112,-97.1582983,"485 Sherbrook St, Winnipeg, MB R3B 2W9, Canada",R3T,R3B
1170793,49.9223609,-97.1949827,"Northbound Keewatin at Gallagher, Winnipeg, MB R3E 1S9, Canada",R2R,R3E
1171080,49.9552817,-97.1488958,"Seven Oaks General Hospital, 2300 McPhillips St, Winnipeg, MB R2V 3M3, Canada",R2V,R2P
1171092,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1171101,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1171142,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1171162,49.8769788,-97.2401794,"2187 Portage Ave, Winnipeg, MB R3J 0L8, Canada",R3R,R3J
1171900,49.8608589,-97.1987459,"555 Lanark St, Winnipeg, MB R3N 1L9, Canada",R2J,R3N
1172155,49.9241015,-97.0502651,"1485 Molson St, Winnipeg, MB R2G 4L9, Canada",R2G,R3W
1172517,49.867631,-97.1839743,"378 Waterloo St, Winnipeg, MB R3N 0S6, Canada",R3N ,R3N
1172674,49.8717772,-97.1142707,"9 Carriere Ave, Winnipeg, MB R2M 0A1, Canada",R3R,R2H
1172693,49.8790355,-97.1602666,"99 Cornish Ave, Winnipeg, MB R3C 1A2, Canada",R3C,R3G
1173160,49.8251111,-97.1045244,"186 Hazelwood Crescent, Winnipeg, MB R2M 4E6, Canada",R3E,R2M
1173539,50.172244,-96.238346,"5QC6+VM Milner Ridge, MB, Canada",R3C,R0E
1173560,49.8716754,-97.4358431,"6030 Portage Avenue, Headingley, MB R2H 1E8, Canada",R2H,R4H
1173749,49.8959366,-97.0852624,"945 Mission St, Winnipeg, MB R2J 0A4, Canada",R2J,R2L
1178911,49.8807708,-97.1659314,"121 Canora St, Winnipeg, MB R3G 1S8, Canada",R3H,R3G
1179556,49.7920701,-97.1581261,"2765 Pembina Hwy, Winnipeg, MB R3T 2H5, Canada",R3E,R3T
1181520,49.9534234,-98.5137701,"64089 Rd 46 W, Edwin, MB R0H 0G0, Canada",R0H,R1N
1183652,49.8166692,-99.6475104,"112 Shilo Rd, Shilo, MB R0K 2A0, Canada",R0K,R7A
1185629,49.8842733,-97.1836132,"1181 Portage Ave, Winnipeg, MB R3G 0T3, Canada",R1A,R3G
1188644,49.8895539,-97.1439235,"175 Carlton St #102, Winnipeg, MB R3C 3H9, Canada",R3B,R3C
1189159,49.943816,-97.1043039,"2015 Main St, Winnipeg, MB R2V 2B9, Canada",R2V,R2G
1189578,49.8900047,-97.1437883,"350 St Mary Ave, Winnipeg, MB R3C 3J2, Canada",R3R,R3C
1190349,49.89567,-97.21845,"900 Ferry Rd, Winnipeg, MB R3H 0Y8, Canada",R3H,R3J
1190369,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1190375,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1192586,49.8809995,-97.2810582,"3033 Portage Ave, Winnipeg, MB R3K 2E3, Canada",R3K,R2Y
1193431,49.8759612,-97.1802997,"1000 Wellington Crescent, Winnipeg, MB R3M 0C9, Canada",R3M,R3N
1194230,49.9040462,-97.1385137,"288 Princess St, Winnipeg, MB R3B 1M3, Canada",R3B,R3A
1194365,49.9066431,-97.0524724,"1375 Ravelston Ave W, Winnipeg, MB R3W 1R2, Canada",R3R,R3W
1194385,49.9010692,-97.0651665,"66 Stapon Rd, Winnipeg, MB R3C 3M2, Canada",R3C,R3W
1194998,49.8744445,-97.1622824,"12 Kingsway, Winnipeg, MB R3M 2R7, Canada",R3C,R3M
1195439,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1195506,49.8861801,-97.144966,"396 Broadway, Winnipeg, MB R3C 0V6, Canada",R3E,R3C
1196433,49.9241015,-97.0502651,"1485 Molson St, Winnipeg, MB R2G 4L9, Canada",R2G,R3W
1196568,49.8746729,-97.2578298,"2510 Portage Ave #618, Winnipeg, MB R3J 0N9, Canada",R3R,R3J
1196572,49.8166692,-99.6475104,"112 Shilo Rd, Shilo, MB R0K 2A0, Canada",R0K,R7A
1197012,49.8337573,-97.1011389,"140 Sterling Ave, Winnipeg, MB R2M 2R7, Canada",R2L,R2M
1197914,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1198175,49.8612439,-97.1081016,"93 St Anne's Rd, Winnipeg, MB R2M 2Y8, Canada",R3E,R2M
1198230,49.917381,-97.1575955,"790 Stella Ave, Winnipeg, MB R2W 2W2, Canada",R2L,R2W
1198247,49.8875373,-97.1424216,"333 Broadway, Winnipeg, MB R3C 4W3, Canada",R3M,R3C
1201006,49.8961207,-97.2693504,"99 Murray Park Rd, Winnipeg, MB R3J 3W2, Canada",R2J,R3J
1201829,49.859952,-97.0996776,"10 Des Meurons St, Winnipeg, MB R2M 2X6, Canada",R3B,R2M
1202319,49.8957007,-97.1665249,"546 Simcoe St, Winnipeg, MB R3G 1W5, Canada",R2C,R3G
1202521,49.8093942,-97.1344793,"508 Chancellors Cir, Winnipeg, MB R3T 2N2, Canada",R5G,R3T
1202950,49.8670336,-97.2119845,"2025 Corydon Ave, Winnipeg, MB R3P 0N5, Canada",R1A,R3P
1203395,49.8809065,-97.1502857,"One Evergreen Place, 1 Evergreen Pl #1701, Winnipeg, MB R3L 0E9, Canada",R3M,R3L
1203397,49.9549941,-97.1778771,"493 Adsum Dr, Winnipeg, MB R2P 0W8, Canada",R3C,R2P
1204304,49.899663,-97.0102222,"328 Whittier Ave W, Winnipeg, MB R2C 1Z8, Canada",R3B,R2C
1204550,52.1063497,-101.2631488,"922 MB-83 Alt, Swan River, MB R0L 1Z0, Canada",R7N,R0L
1205019,49.8911112,-97.1160466,"585 St Jean Baptiste St, Winnipeg, MB R2H 2Y2, Canada",R0A,R2H
1205082,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1205640,49.8842733,-97.1836132,"1181 Portage Ave, Winnipeg, MB R3G 0T3, Canada",R1A,R3G
1205738,49.89567,-97.21845,"900 Ferry Rd, Winnipeg, MB R3H 0Y8, Canada",R3H,R3J
1205760,49.9156286,-97.1297297,"165 Aberdeen Ave, Winnipeg, MB R2W 1V5, Canada",R3M,R2W
1205894,49.8767895,-97.1813874,"1044 Wellington Crescent, Winnipeg, MB R3M 0E1, Canada",R3M,R3N
1206022,49.8964401,-97.2099958,"660 Berry St, Winnipeg, MB R3H 0S5, Canada",R3C,R3H
1206025,49.9183004,-97.2119707,"2055 Notre Dame Ave, Winnipeg, MB R3H 0J8, Canada",R3H,R2R
1206502,49.9755416,-97.1673216,"1125 Mollard Rd, Stony Mountain, MB R0C 3A0, Canada",R2P,R4A
1206607,49.8836661,-97.1723774,"225 Ruby St, Winnipeg, MB R3G 2E3, Canada",R3W,R3G
1206867,49.4399663,-96.9854452,"494 Rue Sabourin, Saint-Pierre-Jolys, MB R0A 1V0, Canada",R1A,R0A
1207998,49.8959366,-97.0852624,"945 Mission St, Winnipeg, MB R2J 0A4, Canada",R2J,R2L
1208168,49.9006916,-97.1503429,"87 Isabel St, Winnipeg, MB R3A 1E8, Canada",R1N,R3A
1208353,49.8826507,-97.1693728,"173 Arlington St, Winnipeg, MB R3G 1Y6, Canada",R3H,R3G
1208472,49.9159211,-97.1501768,"114 McGregor St, Winnipeg, MB R2W 5J7, Canada",R2V,R2W
1208565,53.183982,-99.2675215,"Riverside road, Grand Rapids, MB R0C 1E0, Canada",R3M,R0C
1208600,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1209117,49.7931007,-97.1555859,"936 Greencrest Ave, Winnipeg, MB R3T 2W7, Canada",R2K,R3T
1209192,49.8961761,-97.0219647,"701 Regent Ave W, Winnipeg, MB R2C 1S3, Canada",R3H,R2C
1209335,49.8790557,-97.2723686,"Rainbow Of Flowers, 200 Ronald St, Winnipeg, MB R3J 3J3, Canada",R3V,R3J
1209534,49.9114334,-97.0978892,"511 Martin Ave W, Winnipeg, MB R2L 0C2, Canada",R3L,R2L
1209852,49.8798126,-97.2720417,"234 Ronald St, Winnipeg, MB R3J 3J4, Canada",R3V,R3J
1209939,49.8785925,-97.2726993,"2727 Portage Ave, Winnipeg, MB R3J 0R2, Canada",R3V,R3J
1210105,49.8848069,-97.141922,"24 Carlton St, Winnipeg, MB R3C 0T6, Canada",R3B,R3C
1210230,49.8243111,-97.1549545,"1789 Pembina Hwy, Winnipeg, MB R3T 2G6, Canada",R3L,R3T
1210232,49.8306559,-97.140959,"River Dr, Winnipeg, MB R2M 5C4, Canada",R3L,R2M
1210404,49.8790557,-97.2723686,"Rainbow Of Flowers, 200 Ronald St, Winnipeg, MB R3J 3J3, Canada",R3V,R3J
1210994,49.8403969,-99.9538973,"603 12 St, Brandon, MB R7A 4M8, Canada",R7B,R7A
1211082,49.9183004,-97.2119707,"2055 Notre Dame Ave, Winnipeg, MB R3H 0J8, Canada",R3H,R2R
1211129,49.8581852,-97.1584848,"815 Ebby Ave, Winnipeg, MB R3M 2H2, Canada",R2X,R3M
1213620,49.8669135,-97.1895158,"315 Cordova St, Winnipeg, MB R3N 1A5, Canada",R3H,R3N
